Sample	Expected	Retain	Simple_ED	Tail_Tested	ED_Pass	Occ_Rem	Final	Total_UMIs
BC002	7	89	83	0	83	0	83	83
BC003	2	19	19	0	19	0	19	20
BC004	7583	8947	2376	0	2376	0	2376	83481
BC005	1	14	13	0	13	0	13	13
BC006	9251	10548	1869	1	1869	0	1869	93475
BC007	16883	11983	4145	0	4145	0	4145	201319
BC008	14264	11562	4228	0	4228	0	4228	168799
BC009	1	7	7	0	7	0	7	7
BC010	0	2	2	0	2	0	2	2
BC011	2	18	18	0	18	0	18	18
BC012	0	1	1	0	1	0	1	0
BC013	4	50	50	0	50	0	50	50
BC014	0	5	4	0	4	0	4	4
BC015	1	5	5	0	5	0	5	5
BC016	1	17	16	0	16	0	16	16
TOTAL	48000	43267	12836	1	12836	0	12836	547292
