#qname	txpIDs=...;as=...;bestAS=...;logFragProb=...;errLike=...;logCompat=...;expFmt=...;obsFmt=...;isCompat=...;mateStatus=...;mateFields=...;fwd=...;mateFwd=...;pos=...;matePos=...;primary=...;dropped=...;orphan=...;auxProb=...;fragLen=...;useAuxParams=...;globalFragCount=...;batchReads=...;batchStartCount=...;inDetectionMode=...;
LH00341:87:22K2FJLT3:1:1101:29497:1032	txpIDs=53472,53473;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=38,88;matePos=156,206;primary=1,0;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=53472,53473;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:30532:1032	txpIDs=36794,36803;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=1002,800;matePos=1127,925;primary=0,1;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=36794,36803;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:33435:1032	txpIDs=165888,165889,165890,165892;as=0,0,0,0;bestAS=0;logFragProb=0,0,0,0;errLike=0,0,0,0;logCompat=0,0,0,0;expFmt=37,37,37,37;obsFmt=5,5,5,5;isCompat=1,1,1,1;mateStatus=3,3,3,3;mateFields=1,1,1,1;fwd=1,1,1,1;mateFwd=0,0,0,0;pos=857,984,1023,984;matePos=912,1039,1078,1039;primary=0,1,0,0;dropped=0,0,0,0;droppedIncompat=0;orphan=0,0,0,0;auxProb=0,0,0,0;weight=0.25,0.25,0.25,0.25;ec_label=165888,165889,165890,165892;fragLen=151,151,151,151;useAuxParams=0,0,0,0;globalFragCount=0,0,0,0;batchReads=0,0,0,0;batchStartCount=0,0,0,0;inDetectionMode=1,1,1,1
LH00341:87:22K2FJLT3:1:1101:34175:1032	txpIDs=109322,109323,109324,109326,109327,109329,109330,109331;as=0,0,0,0,0,0,0,0;bestAS=0;logFragProb=0,0,0,0,0,0,0,0;errLike=0,0,0,0,0,0,0,0;logCompat=0,0,0,0,0,0,0,0;expFmt=37,37,37,37,37,37,37,37;obsFmt=5,5,5,5,5,5,5,5;isCompat=1,1,1,1,1,1,1,1;mateStatus=3,3,3,3,3,3,3,3;mateFields=1,1,1,1,1,1,1,1;fwd=1,1,1,1,1,1,1,1;mateFwd=0,0,0,0,0,0,0,0;pos=636,693,1024,654,546,689,34,723;matePos=636,693,1024,654,546,689,34,723;primary=0,0,0,0,0,0,1,0;dropped=0,0,0,0,0,0,0,0;droppedIncompat=0;orphan=0,0,0,0,0,0,0,0;auxProb=0,0,0,0,0,0,0,0;weight=0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125;ec_label=109322,109323,109324,109326,109327,109329,109330,109331;fragLen=151,151,151,151,151,151,151,151;useAuxParams=0,0,0,0,0,0,0,0;globalFragCount=0,0,0,0,0,0,0,0;batchReads=0,0,0,0,0,0,0,0;batchStartCount=0,0,0,0,0,0,0,0;inDetectionMode=1,1,1,1,1,1,1,1
LH00341:87:22K2FJLT3:1:1101:34933:1032	txpIDs=73528,73530,73531;as=0,0,0;bestAS=0;logFragProb=0,0,0;errLike=0,0,0;logCompat=0,0,0;expFmt=37,37,37;obsFmt=5,5,5;isCompat=1,1,1;mateStatus=3,3,3;mateFields=1,1,1;fwd=1,1,1;mateFwd=0,0,0;pos=2540,88,378;matePos=2596,144,434;primary=0,1,0;dropped=0,0,0;droppedIncompat=0;orphan=0,0,0;auxProb=0,0,0;weight=0.333333,0.333333,0.333333;ec_label=73528,73530,73531;fragLen=151,151,151;useAuxParams=0,0,0;globalFragCount=0,0,0;batchReads=0,0,0;batchStartCount=0,0,0;inDetectionMode=1,1,1
LH00341:87:22K2FJLT3:1:1101:37984:1032	txpIDs=24818,24819,24820,24821;as=0,0,0,0;bestAS=0;logFragProb=0,0,0,0;errLike=0,0,0,0;logCompat=0,0,0,0;expFmt=37,37,37,37;obsFmt=5,5,5,5;isCompat=1,1,1,1;mateStatus=3,3,3,3;mateFields=1,1,1,1;fwd=1,1,1,1;mateFwd=0,0,0,0;pos=3222,3874,3839,4280;matePos=3270,3922,3887,4328;primary=1,0,0,0;dropped=0,0,0,0;droppedIncompat=0;orphan=0,0,0,0;auxProb=0,0,0,0;weight=0.25,0.25,0.25,0.25;ec_label=24818,24819,24820,24821;fragLen=151,151,151,151;useAuxParams=0,0,0,0;globalFragCount=0,0,0,0;batchReads=0,0,0,0;batchStartCount=0,0,0,0;inDetectionMode=1,1,1,1
LH00341:87:22K2FJLT3:1:1101:40888:1032	txpIDs=83745,83746,83747;as=0,0,0;bestAS=0;logFragProb=0,0,0;errLike=0,0,0;logCompat=0,0,0;expFmt=37,37,37;obsFmt=5,5,5;isCompat=1,1,1;mateStatus=3,3,3;mateFields=1,1,1;fwd=1,1,1;mateFwd=0,0,0;pos=548,548,462;matePos=904,904,818;primary=1,0,0;dropped=0,0,0;droppedIncompat=0;orphan=0,0,0;auxProb=0,0,0;weight=0.333333,0.333333,0.333333;ec_label=83745,83746,83747;fragLen=357,357,357;useAuxParams=0,0,0;globalFragCount=0,0,0;batchReads=0,0,0;batchStartCount=0,0,0;inDetectionMode=1,1,1
LH00341:87:22K2FJLT3:1:1101:41609:1032	txpIDs=187443,187444;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=69,951;matePos=103,985;primary=0,1;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=187443,187444;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:43014:1032	txpIDs=145181,145187;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=247,45;matePos=418,216;primary=0,1;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=145181,145187;fragLen=172,172;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:43292:1032	txpIDs=125578,125580;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=23,4;matePos=144,125;primary=0,1;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=125578,125580;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:43366:1032	txpIDs=151285,151286,151290,151291,151299,151300,151301;as=0,0,0,0,0,0,0;bestAS=0;logFragProb=0,0,0,0,0,0,0;errLike=0,0,0,0,0,0,0;logCompat=0,0,0,0,0,0,0;expFmt=37,37,37,37,37,37,37;obsFmt=5,5,5,5,5,5,5;isCompat=1,1,1,1,1,1,1;mateStatus=3,3,3,3,3,3,3;mateFields=1,1,1,1,1,1,1;fwd=1,1,1,1,1,1,1;mateFwd=0,0,0,0,0,0,0;pos=1243,1231,1213,1033,360,133,99;matePos=1243,1231,1213,1033,360,133,99;primary=0,0,0,1,0,0,0;dropped=0,0,0,0,0,0,0;droppedIncompat=0;orphan=0,0,0,0,0,0,0;auxProb=0,0,0,0,0,0,0;weight=0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857;ec_label=151285,151286,151290,151291,151299,151300,151301;fragLen=151,151,151,151,151,151,151;useAuxParams=0,0,0,0,0,0,0;globalFragCount=0,0,0,0,0,0,0;batchReads=0,0,0,0,0,0,0;batchStartCount=0,0,0,0,0,0,0;inDetectionMode=1,1,1,1,1,1,1
LH00341:87:22K2FJLT3:1:1101:43865:1032	txpIDs=142437,142438;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=4248,4197;matePos=4294,4243;primary=0,1;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=142437,142438;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:44364:1032	txpIDs=193152;as=0;bestAS=0;logFragProb=0;errLike=0;logCompat=0;expFmt=37;obsFmt=5;isCompat=1;mateStatus=3;mateFields=1;fwd=1;mateFwd=0;pos=586;matePos=608;primary=1;dropped=0;droppedIncompat=0;orphan=0;auxProb=0;weight=1;ec_label=193152;fragLen=151;useAuxParams=0;globalFragCount=0;batchReads=0;batchStartCount=0;inDetectionMode=1
LH00341:87:22K2FJLT3:1:1101:47693:1032	txpIDs=193146;as=0;bestAS=0;logFragProb=0;errLike=0;logCompat=0;expFmt=37;obsFmt=5;isCompat=1;mateStatus=3;mateFields=1;fwd=1;mateFwd=0;pos=94;matePos=234;primary=1;dropped=0;droppedIncompat=0;orphan=0;auxProb=0;weight=1;ec_label=193146;fragLen=151;useAuxParams=0;globalFragCount=0;batchReads=0;batchStartCount=0;inDetectionMode=1
LH00341:87:22K2FJLT3:1:1101:50060:1032	txpIDs=82270,82271;as=0,0;bestAS=0;logFragProb=0,0;errLike=0,0;logCompat=0,0;expFmt=37,37;obsFmt=5,5;isCompat=1,1;mateStatus=3,3;mateFields=1,1;fwd=1,1;mateFwd=0,0;pos=2461,2437;matePos=2461,2437;primary=1,0;dropped=0,0;droppedIncompat=0;orphan=0,0;auxProb=0,0;weight=0.5,0.5;ec_label=82270,82271;fragLen=151,151;useAuxParams=0,0;globalFragCount=0,0;batchReads=0,0;batchStartCount=0,0;inDetectionMode=1,1
LH00341:87:22K2FJLT3:1:1101:6742:1048	txpIDs=81257,81260,81262;as=0,0,0;bestAS=0;logFragProb=0,0,0;errLike=0,0,0;logCompat=0,0,0;expFmt=37,37,37;obsFmt=5,5,5;isCompat=1,1,1;mateStatus=3,3,3;mateFields=1,1,1;fwd=1,1,1;mateFwd=0,0,0;pos=147,57,282;matePos=218,128,353;primary=0,0,1;dropped=0,0,0;droppedIncompat=0;orphan=0,0,0;auxProb=0,0,0;weight=0.333333,0.333333,0.333333;ec_label=81257,81260,81262;fragLen=151,151,151;useAuxParams=0,0,0;globalFragCount=0,0,0;batchReads=0,0,0;batchStartCount=0,0,0;inDetectionMode=1,1,1
