tag	old_tag_object	new_tag_object	unchanged_tree
v0.1.0-alpha.1	41875d2bc48cd433b277fec69ec84aa1ad2d5e56	41875d2bc48cd433b277fec69ec84aa1ad2d5e56	f28b8e094a35fb48437bd4f656044183e15cd985
v0.50	0062a841c1ca4af45ba63cad77a14472ee7e1244	0062a841c1ca4af45ba63cad77a14472ee7e1244	02b71ce3d422fdd048f70c418d1e5722ece5de9e
v0.50.1	928f2c0bc9eae8db42d1418bdd8322e09daa0413	928f2c0bc9eae8db42d1418bdd8322e09daa0413	9d7e73ce288f209cd5ebbb5dede66805bba3b2f1
v0.50.2	41dd5861d99ec5d71a0fbfe85573db2114da5f4b	41dd5861d99ec5d71a0fbfe85573db2114da5f4b	e21a403925952349d756a18508f5c17a07e3709c
v0.50.3	a819a1800b7b8690bc707248b958a25f1612390c	a819a1800b7b8690bc707248b958a25f1612390c	9ff71a459192a0a898cf3844ea6636cc0f95a2ac
v0.90	cb468db93d673c18124a3a1265ba6e5d472c4f8f	cb468db93d673c18124a3a1265ba6e5d472c4f8f	031ccf4d49c320f264d72eb10484de77bc1ff1a4
v0.90.1	dc1b0d4915a60e9c3455ac2e0f81dafed3d0f3fd	dc1b0d4915a60e9c3455ac2e0f81dafed3d0f3fd	b4c1f5be2458f7bea7e10fccce0e8ba5e3a76084
v0.92.0	2ba288fa8e5fef352ad405f6e75d02885a184dc1	2ba288fa8e5fef352ad405f6e75d02885a184dc1	cff07a6bdd67de7bc5ac6a7c61e2794501ba04df
v0.92.1	b58ef61712a5c7cc7f3ec5dda88a91ed92a53da1	b58ef61712a5c7cc7f3ec5dda88a91ed92a53da1	20288984f5087af2dcaf5a541e2470a8547c8b48
v0.93.0	1ddff387542790b210546de14a172c1e4e414c3d	1ddff387542790b210546de14a172c1e4e414c3d	e4f70746d08368550a63de672c4c094e4bd1b170
v0.93.1	a1d26a1fb7f7e12292ded94900a6631682c823e1	a1d26a1fb7f7e12292ded94900a6631682c823e1	2e5fae00b710e7647f783f35edbf35ff6e6529a2
v1.0.1	a3c112771da86c7f3aa76d2870bdbeb483c8e882	fd4a907cdaafa0ced82e540c93ab8d6f5231662b	cbb8057227832266199f45af0f48ba88ca1959d2
v1.0.2	38dc1a196822fbececc17ac4a35b99b70b10d43e	ec5ea2f34930310fb1d0cb9b0622aac49e92e023	2caa49b7f05c9744a92972bd5450fcd6fe5e3019
v1.0.3	9d7af576678a4981dfcceb1fbe6e7d5037d075e5	a1556a27c398375436af8b7c1f171affe3dd9697	a6ed02eb339c331005d2940f4349f8e04b233217
v1.1.0	2a72c88d66f2bf75ec4bbffef6115755fc110798	353d49a5fce2803d337cd7dac23e97a76cab9578	4191a6911cd02365595ab70d2fc3c7e69eb9a715
