Position0	AvgQ_T	TCount	MultiMapFrac	STAR_TC_Cov	STAR_TC_MM	STAR_TC_Rate	STAR_TC_Std	STAR_TC_Std_Smooth	STAR_TA_Cov	STAR_TA_MM	STAR_TA_Rate	GEDI_TC_Cov	GEDI_TC_MM	GEDI_TC_Rate	GEDI_TC_Std	GEDI_TA_Cov	GEDI_TA_MM	GEDI_TA_Rate	STAR_TC_TA_Ratio	GEDI_TC_TA_Ratio
0	39.22017009712646	19871	0.25704	219629.0	16452.7	7.491132773905086	26.32482112292947	24.18909188677753	219629.0	14406.5	6.559470743845303	196313.0	23828.0	12.137759598192682	32.65655756131913	196313.0	21680.0	11.04358855501164	1.1420331100544894	1.0990774907749077
1	39.40354400472534	16930	0.25704	221866.0	13845.7	6.240568631516321	24.18909188677753	21.771649282070413	221866.0	10827.7	4.8802881018272295	175234.0	19536.0	11.148521405663285	31.473204651477676	175234.0	16205.0	9.247634591460562	1.2787295547530868	1.205553841406973
2	39.49214197421861	16989	0.25704	234240.0	9130.16	3.8977800546448087	19.354206677363294	19.354206677363294	234240.0	7332.31	3.130255293715847	182403.0	13043.0	7.150649934485727	25.76690122934871	182403.0	10604.0	5.813500874437373	1.2451955795649665	1.2300075443228968
3	39.42975517890772	15930	0.25704	229561.0	6077.39	2.6473965525503025	16.054000957660836	16.054000957660836	229561.0	5148.53	2.242772073653626	177796.0	8730.0	4.910121712524466	21.607935487238077	177796.0	7791.0	4.3819883461945155	1.1804126614781305	1.1205236811705814
4	39.60367647058823	16320	0.25704	228309.0	3860.32	1.69083128566986	12.892797141442427	12.892797141442427	228309.0	3343.66	1.4645327166252753	176797.0	5693.0	3.2200772637544754	17.65329512558205	176797.0	5381.0	3.0436036810579363	1.1545192992110445	1.0579817877717896
5	39.622542442097895	17141	0.25704	226388.0	2479.19	1.095106631093521	10.407276520583427	10.407276520583427	226388.0	2162.53	0.955231726063219	171705.0	3893.0	2.267260708773769	14.885751568390077	171705.0	3497.0	2.0366325966046417	1.146430338538656	1.1132399199313696
6	39.649915054529515	18247	0.25704	230481.0	1608.82	0.6980271692677487	8.325591570437437	8.325591570437437	230481.0	1437.05	0.62350041868961	178538.0	2503.0	1.4019424436254468	11.7570745403483	178538.0	2428.0	1.3599345797533298	1.119529591872238	1.0308896210873149
7	39.64383561643836	17228	0.25704	238567.0	1152.15	0.48294609061605337	6.932630967761375	6.932630967761375	238567.0	929.362	0.38956016548810185	191389.0	1794.0	0.9373579463814535	9.636241732049944	191389.0	1615.0	0.843831150170595	1.2397214433127244	1.1108359133126935
8	39.67535351174477	17114	0.25704	239675.0	743.892	0.3103752998852613	5.562481205518565	5.562481205518565	239675.0	502.65	0.20972149786168767	193166.0	996.0	0.515618690659847	7.162123039422523	193166.0	801.0	0.41466924821138296	1.4799403163234859	1.2434456928838953
9	39.68196433791289	17105	0.25704	246612.0	393.543	0.1595798257992312	3.991555694102364	3.991555694102364	246612.0	160.65	0.06514281543477204	199389.0	513.0	0.2572860087567519	5.065807416925085	199389.0	283.0	0.14193360716990405	2.4496918767507	1.8127208480565373
