bin	bin_center	count	cumulative	log1p_cum	dist
0	0.0	32791	43261.0	10.675029930523447	0.0
1	0.010101010101010102	598	10470.0	9.256364810287462	-0.335210983801003
2	0.020202020202020204	449	9872.0	9.19755903761145	-0.3394236678382714
3	0.030303030303030304	464	9423.0	9.151014905891367	-0.3406517915119933
4	0.04040404040404041	422	8959.0	9.100525505968976	-0.34284021822692234
5	0.05050505050505051	359	8537.0	9.052282067317908	-0.34448196387260954
6	0.06060606060606061	376	8178.0	9.009325172734973	-0.34483693151341077
7	0.07070707070707072	413	7802.0	8.962263554116761	-0.3461910147459194
8	0.08080808080808081	326	7389.0	8.907883013942248	-0.34932656941927
9	0.09090909090909091	466	7063.0	8.862766742283796	-0.3502071429926463
10	0.10101010101010102	193	6597.0	8.794521851788527	-0.3567173675476527
11	0.11111111111111112	237	6404.0	8.764834214330834	-0.3538425147254306
12	0.12121212121212122	210	6167.0	8.727129915243165	-0.3529189676570461
13	0.13131313131313133	185	5957.0	8.692490133273228	-0.3512494978890921
14	0.14141414141414144	204	5772.0	8.660947155060933	-0.3488262466507822
15	0.15151515151515152	172	5568.0	8.624970783589669	-0.34748211115597605
16	0.16161616161616163	232	5396.0	8.593598522618644	-0.3450173062697083
17	0.17171717171717174	102	5164.0	8.549660381553739	-0.34561111546258927
18	0.18181818181818182	193	5062.0	8.529714471969909	-0.3403650649361376
19	0.19191919191919193	204	4869.0	8.490849216076635	-0.3397241020404791
20	0.20202020202020204	99	4665.0	8.448057452581375	-0.3400388757381667
21	0.21212121212121213	106	4566.0	8.426611813185	-0.3351578688604925
22	0.22222222222222224	154	4460.0	8.403128235128264	-0.3307729090429883
23	0.23232323232323235	107	4306.0	8.36799688505411	-0.3292230900367151
24	0.24242424242424243	148	4199.0	8.34283980427146	-0.3252454712857129
25	0.25252525252525254	59	4051.0	8.306965865368573	-0.32387640306089005
26	0.26262626262626265	141	3992.0	8.292298107063221	-0.31734561738722844
27	0.27272727272727276	60	3851.0	8.256347772918016	-0.31599514424384756
28	0.2828282828282829	99	3791.0	8.240648863374913	-0.3097153472530283
29	0.29292929292929293	117	3692.0	8.214194414852564	-0.30605351595223507
30	0.30303030303030304	97	3575.0	8.182000136293405	-0.3037887953059558
31	0.31313131313131315	77	3478.0	8.154500175151941	-0.3003814483383618
32	0.32323232323232326	14	3401.0	8.132118772955806	-0.2957282119990585
33	0.33333333333333337	106	3387.0	8.127995055771946	-0.2866309405413232
34	0.3434343434343435	60	3281.0	8.096208271650037	-0.28426703319155533
35	0.3535353535353536	48	3221.0	8.07775756373692	-0.27865704119446666
36	0.36363636363636365	73	3173.0	8.062747901086354	-0.2722094771842448
37	0.37373737373737376	61	3100.0	8.03947991910045	-0.2677720399300052
38	0.38383838383838387	65	3039.0	8.019612794400267	-0.26250681266841436
