bin	bin_center	count	cumulative	log1p_cum	dist
0	0.0	36409	49894.0	10.817676076318413	0.0
1	0.010101010101010102	889	13485.0	9.509407389294527	-0.187283491402505
2	0.020202020202020204	913	12596.0	9.441213969352303	-0.18747113556236839
3	0.030303030303030304	1041	11683.0	9.365975663507632	-0.18872167399295459
4	0.04040404040404041	1072	10642.0	9.272657678041044	-0.1926999766702211
5	0.05050505050505051	925	9570.0	9.166492972195906	-0.19861652301488275
6	0.06060606060606061	924	8645.0	9.064852065227576	-0.203850543059666
7	0.07070707070707072	1178	7721.0	8.951828676824181	-0.21080189032187613
8	0.08080808080808081	757	6543.0	8.786303878282583	-0.2256743663026336
9	0.09090909090909091	1653	5786.0	8.663369301573839	-0.23412106003484823
10	0.10101010101010102	208	4133.0	8.327000740241713	-0.2747695186465935
11	0.11111111111111112	342	3925.0	8.275376374836407	-0.27245731349981794
12	0.12121212121212122	248	3583.0	8.18423477409482	-0.2761072550244521
13	0.13131313131313133	229	3335.0	8.112527763478637	-0.276825010735976
14	0.14141414141414144	277	3106.0	8.041412909393047	-0.2774534250738486
15	0.15151515151515152	295	2829.0	7.948031990637284	-0.2814412227853045
16	0.16161616161616163	278	2534.0	7.837948916025283	-0.28794895141035337
17	0.17171717171717174	117	2256.0	7.721791776817535	-0.2953731020397071
18	0.18181818181818182	317	2139.0	7.668561108015897	-0.2933032472589483
19	0.19191919191919193	371	1822.0	7.508238774678663	-0.30739080343604597
20	0.20202020202020204	67	1451.0	7.280697195384741	-0.33162003577355503
21	0.21212121212121213	97	1384.0	7.233455418621439	-0.32864660936315315
22	0.22222222222222224	136	1287.0	7.160845906664299	-0.3295005295942881
23	0.23232323232323235	53	1151.0	7.049254841255837	-0.336235775712176
24	0.24242424242424243	136	1098.0	7.002155954403621	-0.3332407908450523
25	0.25252525252525254	19	962.0	6.870053411798126	-0.343070697671244
26	0.26262626262626265	146	943.0	6.8501261661455	-0.3359762025839268
27	0.27272727272727276	32	797.0	6.682108597449809	-0.35122477423914966
28	0.2828282828282829	49	765.0	6.641182169740591	-0.34729852213076595
29	0.29292929292929293	115	716.0	6.57507584059962	-0.34717127732211406
30	0.30303030303030304	53	601.0	6.400257445308821	-0.3634459209001779
31	0.31313131313131315	14	548.0	6.3080984415095305	-0.3672493626938048
32	0.32323232323232326	6	534.0	6.282266746896006	-0.3610456989214609
33	0.33333333333333337	71	528.0	6.270988431858299	-0.3526462999754052
34	0.3434343434343435	26	457.0	6.126869184114185	-0.36428922226013905
35	0.3535353535353536	14	431.0	6.068425588244111	-0.3630058657124904
36	0.36363636363636365	49	417.0	6.035481432524756	-0.3578752915919603
37	0.37373737373737376	19	368.0	5.910796644040527	-0.3665860478078654
38	0.38383838383838387	21	349.0	5.857933154483459	-0.3644607950091989
39	0.393939393939394	27	328.0	5.796057750765372	-0.36369521106289304
40	0.4040404040404041	5	301.0	5.71042701737487	-0.3665137027364874
41	0.4141414141414142	15	296.0	5.6937321388027	-0.35893152559182195
42	0.42424242424242425	9	281.0	5.641907070938114	-0.35664960134626233
43	0.43434343434343436	5	272.0	5.60947179518496	-0.3514422501695741
44	0.4444444444444445	9	267.0	5.5909869805108565	-0.3441301289000569
45	0.4545454545454546	25	258.0	5.556828061699537	-0.33918283166273167
46	0.4646464646464647	9	233.0	5.455321115357702	-0.3443966404529434
47	0.4747474747474748	1	224.0	5.41610040220442	-0.3402130393606161
48	0.48484848484848486	0	223.0	5.4116460518550396	-0.3307840775413964
49	0.494949494949495	33	223.0	5.4116460518550396	-0.3206830674403862
50	0.5050505050505051	0	190.0	5.25227342804663	-0.3346273365818929
51	0.5151515151515152	2	190.0	5.25227342804663	-0.32452632648088275
52	0.5252525252525253	5	188.0	5.241747015059643	-0.3160134846213547
53	0.5353535353535354	14	183.0	5.214935757608986	-0.30995761199024696
54	0.5454545454545455	1	169.0	5.135798437050262	-0.31179641266644176
55	0.5555555555555556	5	168.0	5.1298987149230735	-0.30258552072130795
56	0.5656565656565657	2	163.0	5.099866427824199	-0.2970156196171101
57	0.5757575757575758	7	161.0	5.087596335232384	-0.2887658547027039
58	0.5858585858585859	1	154.0	5.043425116919247	-0.2853291590456749
59	0.595959595959596	17	153.0	5.0369526024136295	-0.27620468691567723
60	0.6060606060606061	2	136.0	4.919980925828125	-0.28375173053777725
61	0.6161616161616162	1	134.0	4.90527477843843	-0.2758695043917325
62	0.6262626262626263	0	133.0	4.897839799950911	-0.266890243620202
63	0.6363636363636365	7	133.0	4.897839799950911	-0.2567892335191918
64	0.6464646464646465	1	126.0	4.844187086458591	-0.2547830545580172
65	0.6565656565656566	0	125.0	4.836281906951478	-0.24587473517244185
66	0.6666666666666667	4	125.0	4.836281906951478	-0.23577372507143168
67	0.6767676767676768	1	121.0	4.804021044733257	-0.23054005932420485
